GO:0004177,Molecular Function,aminopeptidase activity,evm.model.tig082700000016.101
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.247
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.247
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.247
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.247
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.247
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.247
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.247
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.248
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.248
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.248
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.248
GO:0004252,Molecular Function,serine-type endopeptidase activity,evm.model.tig082700000016.25
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.250
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.250
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.250
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.250
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.250
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.250
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.250
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.250
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.251
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.251
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.251
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.251
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.251
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.251
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.251
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.251
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.252
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.252
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.252
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.252
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.252
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.252
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.252
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.252
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.253
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.253
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.253
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.253
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.253
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.254
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.254
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.254
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.254
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.254
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.254
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.254
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.254
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.256
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.256
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.256
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.256
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.256
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.256
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.256
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.256
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.257
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.257
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000016.257
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.257
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.257
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.258
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.258
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.258
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.258
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.258
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.258
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.258
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.258
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.259
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.259
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.259
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.259
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.259
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.259
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.259
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.259
GO:0003747,Molecular Function,translation release factor activity,evm.model.tig082700000016.26
GO:0016149,Molecular Function,"translation release factor activity, codon specific",evm.model.tig082700000016.26
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.260
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.260
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.260
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.260
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.261
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.261
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.261
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.261
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.261
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.261
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.261
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.261
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.262
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.262
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.262
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.263
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.263
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.263
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.263
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.263
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.263
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.263
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.263
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.264
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.264
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.264
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.264
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.264
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.264
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.264
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.264
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.265
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.265
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.265
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.265
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.265
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.265
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.265
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.265
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.265
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.266
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.266
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.266
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.266
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.266
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.266
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.266
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.266
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.267
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.267
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.267
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.267
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.267
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.267
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.267
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.267
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.267
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.267
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.268
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.268
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000016.268
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.268
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.268
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.268
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.268
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.268
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.268
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.268
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000016.269
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000016.269
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000016.269
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000016.269
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000016.269
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000016.269
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000016.269
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000016.269
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000016.269
GO:0005506,Molecular Function,iron ion binding,evm.model.tig082700000016.27
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000016.27
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000016.270
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000016.270
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000016.270
